;"Tracker
Existing Subnet
PT Aplikanusa Lintasarta
PT Mastersystem Infotama, Tbk";;;;;;;;;;;;;;;;;;;;;;;;
No;Namespace;Name;CIDR;Provider;VPC;;;;;;;;;;;;;;;;;;;;
114;loft-l2-jatiluhur-v-va-scan;v2g6woydfwgmrq;10.168.134.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
115;loft-l2-jatiluhur-v-demo-cluster;v2husx2ez5whxk;10.168.16.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
116;loft-ptaxy-v-test;v2i2jlcp7oko3v;10.168.161.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
117;loft-ai-cloud-engineering-v-dekallm;v2j25a3or87yh6;10.168.229.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
118;loft-ai-cloud-engineering-v-dekallm;v2kel25l4byqqt;10.168.115.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
119;loft-ai-cloud-engineering-v-dekallm;v2ktevf85by0m4;10.168.11.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
120;loft-testingisvdemo-v-testingdemoisv;v2l0l6kwdeei43;10.168.12.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
121;loft-testingforenterprise-16122024-v-testingforenter5;v2m5mev5ggdn2o;10.168.234.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
122;loft-pt-semai-raya-internasional-v-demo-101;v2mt6vcbuue0pu;10.168.154.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
123;loft-ioh-goto-v-goto-production;v2nosql50womb8;10.168.29.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
124;loft-ioh-goto-v-goto-project-new;v2o47g3uoz6yae;10.168.186.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
125;loft-l2-jatiluhur-v-demo-cluster;v2q55zc7ftum30;10.168.185.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
126;loft-pt-arga-bangun-bangsa-esq-v-ai-chatbot;v2qeael9yfyius;10.168.118.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
127;loft-pt-pertamina-hulu-indonesia-v-phi-project;v2qzxasyzpbwd3;10.168.93.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
128;loft-l2-jatiluhur-v-demo-cluster;v2r44e2g7mvamd;10.168.189.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
129;loft-telkom-university-v-llmhigheredu;v2rwco6tmkdl8i;10.168.214.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
130;loft-ai-cloud-engineering-v-dekallm;v2tbnaffndgg8v;10.168.235.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
131;loft-myorg-v-testoroj;v2ubwcykedogcl;10.168.124.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
132;loft-default-v-cv-test-1;v2vixemv4by7ii;10.168.184.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
133;loft-ioh-goto-v-goto-project-new;v2wj8mj3csbtrn;10.168.46.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
134;loft-pt-indosat-ooredo-hutchison-v-ioh-project1;v2xfz8ltujc18y;10.168.43.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
135;loft-bukan-anak-it-v-explore-gpu;v2ygcm0k6nnjil;10.168.70.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
136;loft-ioh-goto-v-goto-project-new;v30g7oj8olf582;10.168.243.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
137;loft-l2-jatiluhur-v-demo-cluster;v3119yy1ppyz1h;10.168.238.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
